id,year,tilename
170293,1997,696_5630
170294,1997,696_5632
170295,1997,696_5634
170296,1997,696_5636
170297,1997,696_5638
170298,1997,696_5640
170299,1997,696_5642
170300,1997,696_5644
170301,1997,696_5646
170302,1997,696_5648
170303,1997,696_5650
170304,1997,696_5652
170305,1997,696_5654
170306,1997,696_5656
170307,1997,696_5658
170308,1997,698_5630
170309,1997,698_5632
170310,1997,698_5634
170311,1997,698_5636
170312,1997,698_5638
170313,1997,698_5640
170314,1997,698_5642
170315,1997,698_5644
170316,1997,698_5646
170317,1997,698_5648
170318,1997,698_5650
170319,1997,698_5652
170320,1997,698_5654
170321,1997,698_5656
170322,1997,698_5658
170323,1997,700_5630
170324,1997,700_5632
170325,1997,700_5634
170326,1997,700_5636
170327,1997,700_5638
170328,1997,700_5640
170329,1997,700_5642
170330,1997,700_5644
170331,1997,700_5646
170332,1997,700_5648
170333,1997,700_5650
170334,1997,700_5652
170335,1997,700_5654
170336,1997,700_5656
170337,1997,700_5658
170338,1997,700_5660
170339,1997,702_5630
170340,1997,702_5632
170341,1997,702_5634
170342,1997,702_5636
170343,1997,702_5638
170344,1997,702_5640
170345,1997,702_5642
170346,1997,702_5644
170347,1997,702_5646
170348,1997,702_5648
170349,1997,702_5650
170350,1997,702_5652
170351,1997,702_5654
170352,1997,702_5656
170353,1997,702_5658
170354,1997,702_5660
170355,1997,704_5630
170356,1997,704_5632
170357,1997,704_5634
170358,1997,704_5636
170359,1997,704_5638
170360,1997,704_5640
170361,1997,704_5642
170362,1997,704_5644
170363,1997,704_5646
170364,1997,704_5648
170365,1997,704_5650
170366,1997,704_5652
170367,1997,704_5654
170368,1997,704_5656
170369,1997,704_5658
170370,1997,706_5630
170371,1997,706_5632
170372,1997,706_5634
170373,1997,706_5636
170374,1997,706_5638
170375,1997,706_5640
170376,1997,706_5642
170377,1997,706_5644
170378,1997,706_5646
170379,1997,706_5648
170380,1997,706_5650
170381,1997,706_5652
170382,1997,706_5654
170383,1997,706_5656
170384,1997,708_5630
170385,1997,708_5632
170386,1997,708_5634
170387,1997,708_5636
170388,1997,708_5638
170389,1997,708_5640
170390,1997,708_5642
170391,1997,708_5644
170392,1997,708_5646
170393,1997,708_5648
170394,1997,708_5650
170395,1997,708_5652
170396,1997,708_5654
170397,1997,708_5656
170398,1997,710_5630
170399,1997,710_5632
170400,1997,710_5634
170401,1997,710_5636
170402,1997,710_5638
170403,1997,710_5640
170404,1997,710_5642
170405,1997,710_5644
170406,1997,710_5646
170407,1997,710_5648
170408,1997,710_5650
170409,1997,710_5652
170410,1997,712_5630
170411,1997,712_5632
170412,1997,712_5634
170413,1997,712_5636
170414,1997,712_5638
170415,1997,712_5640
170416,1997,712_5642
170417,1997,712_5644
170418,1997,712_5646
170419,1997,712_5648
170420,1997,712_5650
170421,1997,714_5630
170422,1997,714_5632
170423,1997,714_5634
170424,1997,714_5636
170425,1997,714_5638
170426,1997,714_5640
170427,1997,714_5642
170428,1997,714_5644
170429,1997,714_5646
170430,1997,714_5648
170431,1997,714_5650
170432,1997,716_5630
170433,1997,716_5632
170434,1997,716_5634
170435,1997,716_5636
170436,1997,716_5638
170437,1997,716_5640
170438,1997,716_5642
170439,1997,716_5644
170440,1997,716_5646
170441,1997,716_5648
170442,1997,716_5650
170443,1997,718_5630
170444,1997,718_5632
170445,1997,718_5634
170446,1997,718_5636
170447,1997,718_5638
170448,1997,718_5640
170449,1997,718_5642
170450,1997,718_5644
170451,1997,718_5646
170452,1997,718_5648
170453,1997,718_5650
170454,1997,720_5630
170455,1997,720_5632
170456,1997,720_5634
170457,1997,720_5636
170458,1997,720_5638
170459,1997,720_5640
170460,1997,720_5642
170461,1997,720_5644
170462,1997,720_5646
170463,1997,720_5648
170464,1997,720_5650
170465,1997,722_5632
170466,1997,722_5634
170467,1997,722_5636
170468,1997,722_5638
170469,1997,722_5640
170470,1997,722_5642
170471,1997,722_5644
170472,1997,722_5646
170473,1997,722_5648
170474,1997,722_5650
170475,1997,722_5652
170476,1997,724_5632
